"","site","date","MeanT_Ambient","MeanT_Tire","MinT_Ambient","MinT_Tire","MeanD","MinD","snow_depth","snow_FAC","snow_FAC10","Location"
"1",1,2018-11-14,-2.25,-2.5625,-9,-9,-0.3125,0,0,"none","none","New Berlin"
"2",1,2018-11-15,-1.4375,-2,-6.5,-6.5,-0.5625,0,0,"none","none","New Berlin"
"3",1,2018-11-16,1.3125,0.625,-0.5,-1,-0.6875,-0.5,0,"none","none","New Berlin"
"4",1,2018-11-17,0.9375,0.4375,-1,-1.5,-0.5,-0.5,6,"lesser",">100","New Berlin"
"5",1,2018-11-18,1,1.0625,-2.5,-3,0.0625,-0.5,12,"lesser",">100","New Berlin"
"6",1,2018-11-19,-1.5625,-1.6875,-4,-4.5,-0.125,-0.5,9,"lesser",">100","New Berlin"
"7",1,2018-11-20,-0.1875,-0.5625,-3,-3.5,-0.375,-0.5,6,"lesser",">100","New Berlin"
"8",1,2018-11-21,0.3125,-0.375,-1.5,-2.5,-0.6875,-1,1,"lesser",">100","New Berlin"
"9",1,2018-11-22,0.5,0,-1,-2,-0.5,-1,0,"none","none","New Berlin"
"10",1,2018-11-23,5.125,4.375,1,0.5,-0.75,-0.5,0,"none","none","New Berlin"
"11",1,2018-11-24,6.3125,5.375,5.5,4.5,-0.9375,-1,0,"none","none","New Berlin"
"12",1,2018-11-25,3,2.4375,1.5,0.5,-0.5625,-1,0,"none","none","New Berlin"
"13",1,2018-11-26,-1.3125,-2.0625,-4,-4.5,-0.75,-0.5,35,"lesser",">100","New Berlin"
"14",1,2018-11-27,-2.6875,-3.125,-5,-6,-0.4375,-1,28,"lesser",">100","New Berlin"
"15",1,2018-11-28,-3.375,-4.1875,-9,-9.5,-0.8125,-0.5,25,"lesser",">100","New Berlin"
"16",1,2018-11-29,-0.9375,-1.75,-4.5,-5,-0.8125,-0.5,25,"lesser",">100","New Berlin"
"17",1,2018-11-30,0.1875,-0.75,-4,-4,-0.9375,0,33,"lesser",">100","New Berlin"
"18",1,2018-12-01,2.875,1.9375,1,0,-0.9375,-1,33,"lesser",">100","New Berlin"
"19",1,2018-12-02,3.3125,2.1875,1.5,0.5,-1.125,-1,0,"none","none","New Berlin"
"20",1,2018-12-03,0.125,-0.6875,-1,-1.5,-0.8125,-0.5,23,"lesser",">100","New Berlin"
"21",1,2018-12-04,-0.8125,-1.125,-1.5,-2,-0.3125,-0.5,8,"lesser",">100","New Berlin"
"22",1,2018-12-05,-1.5625,-1.625,-4,-3.5,-0.0625,0.5,8,"lesser",">100","New Berlin"
"23",1,2018-12-06,-1.8125,-2.3125,-6,-7,-0.5,-1,7,"lesser",">100","New Berlin"
"24",1,2018-12-07,-6.3125,-6.375,-10,-10.5,-0.0625,-0.5,5,"lesser",">100","New Berlin"
"25",1,2018-12-08,-3.5,-4.6875,-9,-10,-1.1875,-1,4,"lesser",">100","New Berlin"
"26",1,2018-12-09,-6.5625,-7.0625,-9,-10.5,-0.5,-1.5,4,"lesser",">100","New Berlin"
"27",1,2018-12-10,-2.5625,-3,-8,-9,-0.4375,-1,4,"lesser",">100","New Berlin"
"28",1,2018-12-11,0,-1,-4.5,-5.5,-1,-1,2,"lesser",">100","New Berlin"
"29",1,2018-12-12,0.625,-0.25,-1.5,-2.5,-0.875,-1,2,"lesser",">100","New Berlin"
"30",1,2018-12-13,1.375,0.5,-1,-2,-0.875,-1,3,"lesser",">100","New Berlin"
"31",1,2018-12-14,1.75,0.6875,-1,-2.5,-1.0625,-1.5,3,"lesser",">100","New Berlin"
"32",1,2018-12-15,3.5625,1.875,-3.5,-4,-1.6875,-0.5,4,"lesser",">100","New Berlin"
"33",1,2018-12-16,3.25,2.5625,-4,-4,-0.6875,0,0,"none","none","New Berlin"
"34",1,2018-12-17,3.625,3.0625,-0.5,-2.5,-0.5625,-2,0,"none","none","New Berlin"
"35",1,2018-12-18,1.3125,0.875,-5.5,-5.5,-0.4375,0,0,"none","none","New Berlin"
"36",1,2018-12-19,3.9375,3.375,0.5,0,-0.5625,-0.5,0,"none","none","New Berlin"
"37",1,2018-12-20,5.5625,4.8125,4,3.5,-0.75,-0.5,0,"none","none","New Berlin"
"38",1,2018-12-21,0.8125,0.3125,-1,-1.5,-0.5,-0.5,0,"none","none","New Berlin"
"39",1,2018-12-22,-1.4375,-1.5625,-2.5,-2.5,-0.125,0,0,"none","none","New Berlin"
"40",1,2018-12-23,1.0625,0.625,-1,-1.5,-0.4375,-0.5,0,"none","none","New Berlin"
"41",1,2018-12-24,-0.125,0,-4,-4,0.125,0,0,"none","none","New Berlin"
"42",1,2018-12-25,-0.3125,-0.875,-5,-5.5,-0.5625,-0.5,0,"none","none","New Berlin"
"43",1,2018-12-26,3.8125,2.4375,1.5,0.5,-1.375,-1,4,"lesser",">100","New Berlin"
"44",1,2018-12-27,5.5,4.6875,4,3,-0.8125,-1,0,"none","none","New Berlin"
"45",1,2018-12-28,4.25,3.3125,0,-1,-0.9375,-1,0,"none","none","New Berlin"
"46",1,2018-12-29,-3.25,-2.875,-4.5,-4,0.375,0.5,17,"lesser",">100","New Berlin"
"47",1,2018-12-30,-1.9375,-2.3125,-6.5,-6.5,-0.375,0,20,"lesser",">100","New Berlin"
"48",1,2018-12-31,1.125,0,-0.5,-1.5,-1.125,-1,15,"lesser",">100","New Berlin"
"49",1,2019-01-01,-2.5,-2.75,-4.5,-4.5,-0.25,0,28,"lesser",">100","New Berlin"
"50",1,2019-01-02,-3.625,-4,-5,-5,-0.375,0,31,"lesser",">100","New Berlin"
"51",1,2019-01-03,-0.125,-0.9375,-5,-6,-0.8125,-1,33,"lesser",">100","New Berlin"
"52",1,2019-01-04,5.75,4.875,2,-0.5,-0.875,-2.5,30,"lesser",">100","New Berlin"
"53",1,2019-01-05,6.25,5.625,-1.5,-2.5,-0.625,-1,0,"none","none","New Berlin"
"54",1,2019-01-06,2,0.875,-0.5,-2,-1.125,-1.5,0,"none","none","New Berlin"
"55",1,2019-01-07,5.1875,4.25,2.5,2,-0.9375,-0.5,0,"none","none","New Berlin"
"56",1,2019-01-08,4.5625,4,-0.5,-1,-0.5625,-0.5,0,"none","none","New Berlin"
"57",1,2019-01-09,-6.25,-5.5,-8.5,-8,0.75,0.5,0,"none","none","New Berlin"
"58",1,2019-01-10,-5.25,-4.875,-10,-10,0.375,0,0,"none","none","New Berlin"
"59",1,2019-01-11,-3,-3.5625,-6,-6.5,-0.5625,-0.5,0,"none","none","New Berlin"
"60",1,2019-01-12,-0.25,-1.1875,-1.5,-2.5,-0.9375,-1,0,"none","none","New Berlin"
"61",1,2019-01-13,-0.75,-1.8125,-3,-4.5,-1.0625,-1.5,0,"none","none","New Berlin"
"62",1,2019-01-14,-1.5625,-2.125,-3,-3.5,-0.5625,-0.5,0,"none","none","New Berlin"
"63",1,2019-01-15,-1.875,-2.375,-3,-3.5,-0.5,-0.5,0,"none","none","New Berlin"
"64",1,2019-01-16,1.0625,-0.8125,-2,-4.5,-1.875,-2.5,0,"none","none","New Berlin"
"65",1,2019-01-17,-0.4375,-1.1875,-3.5,-4.5,-0.75,-1,0,"none","none","New Berlin"
"66",1,2019-01-18,-2.375,-3.1875,-4,-6,-0.8125,-2,0,"none","none","New Berlin"
"67",1,2019-01-19,-6.125,-7.0625,-11.5,-12.5,-0.9375,-1,58,"lesser",">100","New Berlin"
"68",1,2019-01-20,-9.1875,-10.3125,-14.5,-16.5,-1.125,-2,106,"lesser",">200","New Berlin"
"69",1,2019-01-21,-12.0625,-12.25,-17.5,-18.5,-0.1875,-1,96,"lesser",">100","New Berlin"
"70",1,2019-01-22,-5.25,-6.125,-7,-8,-0.875,-1,106,"lesser",">200","New Berlin"
"71",1,2019-01-23,-3.5,-4.375,-5.5,-6.5,-0.875,-1,147,"lesser",">200","New Berlin"
"72",1,2019-01-24,-8.8125,-9.625,-12.5,-13.5,-0.8125,-1,224,"greater",">300","New Berlin"
"73",1,2019-01-25,-16.8125,-16.4375,-20,-19.5,0.375,0.5,209,"greater",">300","New Berlin"
"74",1,2019-01-26,-17.375,-17.8125,-24,-24.5,-0.4375,-0.5,199,"greater",">200","New Berlin"
"75",1,2019-01-27,-13.5,-14.1875,-19,-19.5,-0.6875,-0.5,194,"lesser",">200","New Berlin"
"76",1,2019-01-28,-8.5625,-9.3125,-14.5,-15,-0.75,-0.5,195,"lesser",">200","New Berlin"
"77",1,2019-01-29,-14,-15.125,-20,-20.5,-1.125,-0.5,393,"greater",">400","New Berlin"
"78",1,2019-01-30,-23.6875,-23.9375,-28,-28.5,-0.25,-0.5,360,"greater",">400","New Berlin"
"79",1,2019-01-31,-23,-23.125,-29.5,-29.5,-0.125,0,328,"greater",">400","New Berlin"
"80",1,2019-02-01,-11.9375,-13,-19.5,-20,-1.0625,-0.5,316,"greater",">400","New Berlin"
"81",1,2019-02-02,-1.25,-2.8125,-10,-11,-1.5625,-1,304,"greater",">400","New Berlin"
"82",1,2019-02-03,5.875,4,4.5,2,-1.875,-2.5,254,"greater",">300","New Berlin"
"83",1,2019-02-04,6.25,4.8125,1.5,1,-1.4375,-0.5,40,"lesser",">100","New Berlin"
"84",1,2019-02-05,-2.3125,-2.5625,-3.5,-3.5,-0.25,0,0,"none","none","New Berlin"
"85",1,2019-02-06,0.5625,-0.625,-0.5,-2,-1.1875,-1.5,129,"lesser",">200","New Berlin"
"86",1,2019-02-07,-0.6875,-1.5,-7.5,-8,-0.8125,-0.5,48,"lesser",">100","New Berlin"
"87",1,2019-02-08,-10.3125,-10.125,-14.5,-13,0.1875,1.5,49,"lesser",">100","New Berlin"
"88",1,2019-02-09,-9.1875,-9.5,-16,-16.5,-0.3125,-0.5,17,"lesser",">100","New Berlin"
"89",1,2019-02-10,-3.9375,-4.6875,-7.5,-8.5,-0.75,-1,17,"lesser",">100","New Berlin"
"90",1,2019-02-11,-1.5625,-2.75,-2,-3.5,-1.1875,-1.5,28,"lesser",">100","New Berlin"
"91",1,2019-02-12,-0.5,-1.6875,-3.5,-4.5,-1.1875,-1,52,"lesser",">100","New Berlin"
"92",1,2019-02-13,-3,-3.9375,-6.5,-7,-0.9375,-0.5,170,"lesser",">200","New Berlin"
"93",1,2019-02-14,1.125,-0.8125,-6,-6.5,-1.9375,-0.5,157,"lesser",">200","New Berlin"
"94",1,2019-02-15,-5.25,-4.875,-11.5,-12,0.375,-0.5,84,"lesser",">100","New Berlin"
"95",1,2019-02-16,-4.5625,-5.8125,-13.5,-14,-1.25,-0.5,82,"lesser",">100","New Berlin"
"96",1,2019-02-17,-2.5,-3.6875,-3.5,-5,-1.1875,-1.5,81,"lesser",">100","New Berlin"
"97",1,2019-02-18,-0.8125,-0.4375,-6.5,-8,0.375,-1.5,149,"lesser",">200","New Berlin"
"98",1,2019-02-19,-5.6875,-5.625,-14.5,-15,0.0625,-0.5,147,"lesser",">200","New Berlin"
"99",1,2019-02-20,-0.375,-1.3125,-2.5,-4,-0.9375,-1.5,264,"greater",">300","New Berlin"
"100",1,2019-02-21,-0.5625,-0.3125,-5,-6,0.25,-1,317,"greater",">400","New Berlin"
"101",1,2019-02-22,-1.25,-0.875,-10.5,-10.5,0.375,0,296,"greater",">300","New Berlin"
"102",1,2019-02-23,1.1875,0.25,0.5,-0.5,-0.9375,-1,288,"greater",">300","New Berlin"
"103",1,2019-02-24,-0.125,-0.75,-8,-7.5,-0.625,0.5,220,"greater",">300","New Berlin"
"104",1,2019-02-25,-9.875,-8.5,-15,-13.5,1.375,1.5,178,"lesser",">200","New Berlin"
"105",1,2019-02-26,-8.1875,-8.8125,-10.5,-11,-0.625,-0.5,152,"lesser",">200","New Berlin"
"106",1,2019-02-27,-4.75,-4.375,-9.5,-10.5,0.375,-1,159,"lesser",">200","New Berlin"
"107",1,2019-02-28,-7.4375,-7.25,-13,-13.5,0.1875,-0.5,169,"lesser",">200","New Berlin"
"108",1,2019-03-01,-3.125,-3.6875,-6.5,-7.5,-0.5625,-1,169,"lesser",">200","New Berlin"
"109",1,2019-03-02,-1.25,-1.375,-4,-4.5,-0.125,-0.5,172,"lesser",">200","New Berlin"
"110",1,2019-03-03,-5.875,-3.875,-12.5,-13,2,-0.5,174,"lesser",">200","New Berlin"
"111",1,2019-03-04,-14,-11.9375,-20,-19.5,2.0625,0.5,172,"lesser",">200","New Berlin"
"112",1,2019-03-05,-9.25,-7.375,-14.5,-15,1.875,-0.5,170,"lesser",">200","New Berlin"
"113",1,2019-03-06,-7.375,-7.5,-14.5,-14.5,-0.125,0,167,"lesser",">200","New Berlin"
"114",1,2019-03-07,-5.9375,-6.375,-11,-12.5,-0.4375,-1.5,165,"lesser",">200","New Berlin"
"115",1,2019-03-08,-2.4375,-3.375,-9.5,-10.5,-0.9375,-1,164,"lesser",">200","New Berlin"
"116",1,2019-03-09,0,-1.125,-4,-5.5,-1.125,-1.5,164,"lesser",">200","New Berlin"
"117",1,2019-03-10,1.57142857142857,0.357142857142857,1,0,-1.21428571428571,-1,186,"lesser",">200","New Berlin"
"118",1,2019-03-11,1,1.5625,-4,-4,0.5625,0,186,"lesser",">200","New Berlin"
"119",1,2019-03-12,2.375,1.6875,-6,-6,-0.6875,0,139,"lesser",">200","New Berlin"
"120",1,2019-03-13,6.0625,4.4375,4.5,2.5,-1.625,-2,99,"lesser",">100","New Berlin"
"121",1,2019-03-14,10.75,9.5,7,5.5,-1.25,-1.5,13,"lesser",">100","New Berlin"
"122",1,2019-03-15,3.75,3.3125,3,2.5,-0.4375,-0.5,0,"none","none","New Berlin"
"123",1,2019-03-16,5,5.75,-1.5,-2.5,0.75,-1,0,"none","none","New Berlin"
"124",1,2019-03-17,4.6875,5.75,-2,-2,1.0625,0,0,"none","none","New Berlin"
"125",1,2019-03-18,5.4375,5.9375,-2,-3,0.5,-1,0,"none","none","New Berlin"
"126",1,2019-03-19,5.4375,5.4375,-2,-2.5,0,-0.5,0,"none","none","New Berlin"
"127",1,2019-03-20,5.125,4.4375,2.5,1.5,-0.6875,-1,0,"none","none","New Berlin"
"128",1,2019-03-21,5.4375,5.4375,3.5,3,0,-0.5,0,"none","none","New Berlin"
"129",1,2019-03-22,7.8125,6.9375,1,-0.5,-0.875,-1.5,0,"none","none","New Berlin"
"130",1,2019-03-23,5,4.9375,-4,-4,-0.0625,0,0,"none","none","New Berlin"
"131",1,2019-03-24,7.75,6.5625,4,2.5,-1.1875,-1.5,0,"none","none","New Berlin"
"132",1,2019-03-25,5.9375,3.8125,-0.5,-1.5,-2.125,-1,0,"none","none","New Berlin"
"133",1,2019-03-26,3.625,3.4375,-5,-5,-0.1875,0,0,"none","none","New Berlin"
"134",1,2019-03-27,6.1875,5.8125,0.5,0,-0.375,-0.5,0,"none","none","New Berlin"
"135",1,2019-03-28,14.1875,12.875,9,8,-1.3125,-1,0,"none","none","New Berlin"
"136",1,2019-03-29,9.875,9,2.5,2.5,-0.875,0,0,"none","none","New Berlin"
"137",1,2019-03-30,6.1875,6.1875,3.5,3,0,-0.5,0,"none","none","New Berlin"
"138",1,2019-03-31,2,2.6875,-5.5,-5,0.6875,0.5,0,"none","none","New Berlin"
"139",1,2019-04-01,2.0625,1.8125,-4.5,-3.5,-0.25,1,0,"none","none","New Berlin"
"140",1,2019-04-02,7.125,6.625,5,4.5,-0.5,-0.5,0,"none","none","New Berlin"
"141",1,2019-04-03,10.5,9.375,0.5,0.5,-1.125,0,0,"none","none","New Berlin"
"142",1,2019-04-04,6.375,6.0625,4.5,4,-0.3125,-0.5,0,"none","none","New Berlin"
"143",1,2019-04-05,8.4375,8.4375,2.5,2.5,0,0,0,"none","none","New Berlin"
"144",1,2019-04-06,11.5625,10.4375,6.5,6.5,-1.125,0,0,"none","none","New Berlin"
"145",1,2019-04-07,11.6875,10.9375,7.5,7,-0.75,-0.5,0,"none","none","New Berlin"
"146",1,2019-04-08,17.875,17,8.5,8.5,-0.875,0,0,"none","none","New Berlin"
"147",1,2019-04-09,17.8125,17.125,6.5,7,-0.6875,0.5,0,"none","none","New Berlin"
"148",1,2019-04-10,3.6875,3,1.5,0.5,-0.6875,-1,0,"none","none","New Berlin"
"149",1,2019-04-11,2.4375,1.4375,1,0,-1,-1,16,"lesser",">100","New Berlin"
"150",1,2019-04-12,5.5,4.5625,4,3,-0.9375,-1,0,"none","none","New Berlin"
"151",1,2019-04-13,6.1875,5.0625,0.5,0.5,-1.125,0,0,"none","none","New Berlin"
"152",1,2019-04-14,3.1875,2.125,2,1,-1.0625,-1,0,"none","none","New Berlin"
"153",1,2019-04-15,9.9375,8.625,-3.5,-3,-1.3125,0.5,55,"lesser",">100","New Berlin"
"154",1,2019-04-16,21.5,21.0625,20.5,20,-0.4375,-0.5,0,"none","none","New Berlin"
"155",1,2019-04-17,20.3125,19.9375,20,19.5,-0.375,-0.5,0,"none","none","New Berlin"
"156",1,2019-04-18,20.4375,20,20,19.5,-0.4375,-0.5,0,"none","none","New Berlin"
"157",1,2019-04-19,20.9375,20.5625,20.5,20,-0.375,-0.5,0,"none","none","New Berlin"
"158",1,2019-04-20,20.1875,19.875,19.5,19,-0.3125,-0.5,0,"none","none","New Berlin"
"159",1,2019-04-21,19.5625,19.0625,19.5,19,-0.5,-0.5,0,"none","none","New Berlin"
"160",1,2019-04-22,19.8125,19.375,19.5,19,-0.4375,-0.5,0,"none","none","New Berlin"
"161",1,2019-04-23,20,19.4375,19.5,19,-0.5625,-0.5,0,"none","none","New Berlin"
"162",1,2019-04-24,20.9375,20.625,19.5,19,-0.3125,-0.5,0,"none","none","New Berlin"
"163",1,2019-04-25,22.3125,21.9375,21.5,21,-0.375,-0.5,0,"none","none","New Berlin"
"164",1,2019-04-26,23.6875,22.5625,22,21,-1.125,-1,0,"none","none","New Berlin"
"165",1,2019-04-27,24.125,22.6875,24,22.5,-1.4375,-1.5,0,"none","none","New Berlin"
"166",1,2019-04-28,23.625,22.1875,23,22,-1.4375,-1,48,"lesser",">100","New Berlin"
"167",1,2019-04-29,22.9375,21.625,21,20,-1.3125,-1,0,"none","none","New Berlin"
"168",1,2019-04-30,23.1428571428571,22.5833333333333,22,21.5,-0.55952380952381,-0.5,0,"none","none","New Berlin"
"169",10,2018-11-14,2.8125,3.4375,-6.5,-6.5,0.625,0,0,"none","none","NWMAD"
"170",10,2018-11-15,-0.4375,-1.0625,-5,-6.5,-0.625,-1.5,0,"none","none","NWMAD"
"171",10,2018-11-16,1.375,1.5,-2.5,-3.5,0.125,-1,8,"lesser",">100","NWMAD"
"172",10,2018-11-17,1.375,0.625,0.5,0,-0.75,-0.5,5,"lesser",">100","NWMAD"
"173",10,2018-11-18,1.3125,0.9375,-4,-6.5,-0.375,-2.5,20,"lesser",">100","NWMAD"
"174",10,2018-11-19,-0.0625,0.25,-6,-7.5,0.3125,-1.5,19,"lesser",">100","NWMAD"
"175",10,2018-11-20,2.875,2.625,-1.5,-3,-0.25,-1.5,6,"lesser",">100","NWMAD"
"176",10,2018-11-21,0.9375,0.75,-1,-1.5,-0.1875,-0.5,4,"lesser",">100","NWMAD"
"177",10,2018-11-22,1.75,1.6875,0,-0.5,-0.0625,-0.5,6,"lesser",">100","NWMAD"
"178",10,2018-11-23,4.875,4.625,0.5,-0.5,-0.25,-1,5,"lesser",">100","NWMAD"
"179",10,2018-11-24,6.5625,6.3125,5,4,-0.25,-1,0,"none","none","NWMAD"
"180",10,2018-11-25,2.25,2,0,0,-0.25,0,0,"none","none","NWMAD"
"181",10,2018-11-26,-1.5,-1.25,-3.5,-3,0.25,0.5,158,"lesser",">200","NWMAD"
"182",10,2018-11-27,-3.3125,-2.4375,-6,-5,0.875,1,199,"greater",">200","NWMAD"
"183",10,2018-11-28,-4.25,-4.25,-11,-9.5,0,1.5,182,"lesser",">200","NWMAD"
"184",10,2018-11-29,0.25,-0.125,-3,-3,-0.375,0,121,"lesser",">200","NWMAD"
"185",10,2018-11-30,3.375,1.875,-4.5,-3,-1.5,1.5,116,"lesser",">200","NWMAD"
"186",10,2018-12-01,3.1875,2.625,2,1.5,-0.5625,-0.5,114,"lesser",">200","NWMAD"
"187",10,2018-12-02,4.375,4.75,1.5,1.5,0.375,0,38,"lesser",">100","NWMAD"
"188",10,2018-12-03,0.9375,1,-0.5,-1,0.0625,-0.5,28,"lesser",">100","NWMAD"
"189",10,2018-12-04,-0.9375,-0.5625,-1.5,-1.5,0.375,0,2,"lesser",">100","NWMAD"
"190",10,2018-12-05,-1.75,-1.0625,-3.5,-3,0.6875,0.5,2,"lesser",">100","NWMAD"
"191",10,2018-12-06,-0.5625,-0.75,-6,-7,-0.1875,-1,7,"lesser",">100","NWMAD"
"192",10,2018-12-07,-6.4375,-5.375,-11,-10.5,1.0625,0.5,4,"lesser",">100","NWMAD"
"193",10,2018-12-08,-1.4375,-1.5,-8,-7.5,-0.0625,0.5,4,"lesser",">100","NWMAD"
"194",10,2018-12-09,-2.3125,-2.4375,-10,-10,-0.125,0,3,"lesser",">100","NWMAD"
"195",10,2018-12-10,-1.25,-1.5625,-10.5,-10.5,-0.3125,0,4,"lesser",">100","NWMAD"
"196",10,2018-12-11,1.8125,1.375,-5,-5.5,-0.4375,-0.5,3,"lesser",">100","NWMAD"
"197",10,2018-12-12,2.6875,1.9375,-0.5,-1,-0.75,-0.5,3,"lesser",">100","NWMAD"
"198",10,2018-12-13,1.1875,1.6875,-5.5,-6,0.5,-0.5,0,"none","none","NWMAD"
"199",10,2018-12-14,4.375,4.1875,2.5,2,-0.1875,-0.5,0,"none","none","NWMAD"
"200",10,2018-12-15,3.875,3,-4,-4.5,-0.875,-0.5,0,"none","none","NWMAD"
"201",10,2018-12-16,5.125,4.125,-3.5,-3.5,-1,0,0,"none","none","NWMAD"
"202",10,2018-12-17,4.25,3.375,-1,-3.5,-0.875,-2.5,0,"none","none","NWMAD"
"203",10,2018-12-18,1.9375,1.625,-6,-6,-0.3125,0,0,"none","none","NWMAD"
"204",10,2018-12-19,5.625,5.5625,0.5,-2,-0.0625,-2.5,0,"none","none","NWMAD"
"205",10,2018-12-20,6.625,6.0625,4,3.5,-0.5625,-0.5,0,"none","none","NWMAD"
"206",10,2018-12-21,1.125,0.9375,0,-0.5,-0.1875,-0.5,0,"none","none","NWMAD"
"207",10,2018-12-22,0.375,0.75,-1.5,-1.5,0.375,0,0,"none","none","NWMAD"
"208",10,2018-12-23,4,2.75,-2,-1,-1.25,1,0,"none","none","NWMAD"
"209",10,2018-12-24,1.125,0,-6,-5.5,-1.125,0.5,0,"none","none","NWMAD"
"210",10,2018-12-25,1.5625,1.125,-4.5,-5,-0.4375,-0.5,0,"none","none","NWMAD"
"211",10,2018-12-26,1.9375,1.6875,-5.5,-5.5,-0.25,0,0,"none","none","NWMAD"
"212",10,2018-12-27,6.125,5.8125,4.5,3.5,-0.3125,-1,0,"none","none","NWMAD"
"213",10,2018-12-28,4.4375,3.75,-0.5,-0.5,-0.6875,0,0,"none","none","NWMAD"
"214",10,2018-12-29,-0.875,-1,-2.5,-2.5,-0.125,0,7,"lesser",">100","NWMAD"
"215",10,2018-12-30,-0.0625,-0.3125,-7.5,-6,-0.25,1.5,14,"lesser",">100","NWMAD"
"216",10,2018-12-31,1.75,1.25,-1,-1.5,-0.5,-0.5,10,"lesser",">100","NWMAD"
"217",10,2019-01-01,-1,-0.9375,-3,-2.5,0.0625,0.5,10,"lesser",">100","NWMAD"
"218",10,2019-01-02,-2,-1.6875,-3,-2.5,0.3125,0.5,14,"lesser",">100","NWMAD"
"219",10,2019-01-03,1.875,1.4375,-5,-5.5,-0.4375,-0.5,20,"lesser",">100","NWMAD"
"220",10,2019-01-04,6.3125,5.0625,-1.5,-2,-1.25,-0.5,8,"lesser",">100","NWMAD"
"221",10,2019-01-05,7.25,5.75,-1.5,-3,-1.5,-1.5,0,"none","none","NWMAD"
"222",10,2019-01-06,2.8125,2,-0.5,-2.5,-0.8125,-2,0,"none","none","NWMAD"
"223",10,2019-01-07,6.4375,6.125,4,3.5,-0.3125,-0.5,0,"none","none","NWMAD"
"224",10,2019-01-08,5.1875,5.5625,2.5,0,0.375,-2.5,0,"none","none","NWMAD"
"225",10,2019-01-09,-4.6875,-4.5625,-8.5,-8.5,0.125,0,0,"none","none","NWMAD"
"226",10,2019-01-10,-6.625,-6.375,-10,-10.5,0.25,-0.5,0,"none","none","NWMAD"
"227",10,2019-01-11,-2.875,-3.75,-9,-10.5,-0.875,-1.5,0,"none","none","NWMAD"
"228",10,2019-01-12,-0.5625,-0.625,-1,-1,-0.0625,0,0,"none","none","NWMAD"
"229",10,2019-01-13,0.1875,0.0625,-2.5,-3,-0.125,-0.5,60,"lesser",">100","NWMAD"
"230",10,2019-01-14,-2.0625,-1.5,-3.5,-4,0.5625,-0.5,53,"lesser",">100","NWMAD"
"231",10,2019-01-15,-2.4375,-2.25,-3.5,-4,0.1875,-0.5,55,"lesser",">100","NWMAD"
"232",10,2019-01-16,1.625,1,-2,-2.5,-0.625,-0.5,54,"lesser",">100","NWMAD"
"233",10,2019-01-17,0.25,0.5625,-2,-3,0.3125,-1,50,"lesser",">100","NWMAD"
"234",10,2019-01-18,-1,-0.8125,-2.5,-2.5,0.1875,0,50,"lesser",">100","NWMAD"
"235",10,2019-01-19,-3.125,-1.875,-6.5,-2.5,1.25,4,84,"lesser",">100","NWMAD"
"236",10,2019-01-20,-7.75,-2.6875,-15.5,-4.5,5.0625,11,188,"lesser",">200","NWMAD"
"237",10,2019-01-21,-9.875,-4.25,-16,-6,5.625,10,172,"lesser",">200","NWMAD"
"238",10,2019-01-22,-5.625,-2.3125,-9.5,-3.5,3.3125,6,176,"lesser",">200","NWMAD"
"239",10,2019-01-23,-1.375,-0.5,-7,-0.5,0.875,6.5,218,"greater",">300","NWMAD"
"240",10,2019-01-24,-8.625,-3.375,-13.5,-5,5.25,8.5,230,"greater",">300","NWMAD"
"241",10,2019-01-25,-13.3125,-5.0625,-22,-7,8.25,15,220,"greater",">300","NWMAD"
"242",10,2019-01-26,-12,-6.1875,-23.5,-8.5,5.8125,15,214,"greater",">300","NWMAD"
"243",10,2019-01-27,-9,-4.875,-21.5,-7,4.125,14.5,216,"greater",">300","NWMAD"
"244",10,2019-01-28,-6.4375,-2.875,-11,-4.5,3.5625,6.5,209,"greater",">300","NWMAD"
"245",10,2019-01-29,-12.9375,-5.1875,-19.5,-7.5,7.75,12,304,"greater",">400","NWMAD"
"246",10,2019-01-30,-21.75,-11.875,-30.5,-13.5,9.875,17,288,"greater",">300","NWMAD"
"247",10,2019-01-31,-18.6875,-13.4375,-30,-16,5.25,14,300,"greater",">300","NWMAD"
"248",10,2019-02-01,-6,-7.3125,-17,-10.5,-1.3125,6.5,296,"greater",">300","NWMAD"
"249",10,2019-02-02,-0.8125,-3,-9.5,-5,-2.1875,4.5,289,"greater",">300","NWMAD"
"250",10,2019-02-03,5.75,1.875,3.5,-0.5,-3.875,-4,236,"greater",">300","NWMAD"
"251",10,2019-02-04,6.875,5.0625,2.5,1,-1.8125,-1.5,35,"lesser",">100","NWMAD"
"252",10,2019-02-05,-0.9375,-0.25,-3.5,-2.5,0.6875,1,0,"none","none","NWMAD"
"253",10,2019-02-06,0.9375,1,0,0,0.0625,0,85,"lesser",">100","NWMAD"
"254",10,2019-02-07,1.125,0.8125,-4.5,-6,-0.3125,-1.5,9,"lesser",">100","NWMAD"
"255",10,2019-02-08,-9.0625,-7.3125,-15,-13.5,1.75,1.5,17,"lesser",">100","NWMAD"
"256",10,2019-02-09,-6.3125,-4.6875,-15,-15.5,1.625,-0.5,16,"lesser",">100","NWMAD"
"257",10,2019-02-10,-3,-2.6875,-5,-5,0.3125,0,16,"lesser",">100","NWMAD"
"258",10,2019-02-11,-1,-1.0625,-2,-2.5,-0.0625,-0.5,24,"lesser",">100","NWMAD"
